final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
1,content_1f080331fa2b,client_3fdba35f04,81.63669708126251,random_forest,0.7820785264761718,0.844481250521542,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,12834,6,66,6.8,0.05,165,104,1404.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,good,page_1
2,content_6aa43079fb0c,client_3fdba35f04,81.4476562486564,random_forest,0.7881052836270515,0.825477128595238,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8064,6,23,3.8,0.07,139,104,1457.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
3,content_d6570c51c9bd,client_3fdba35f04,81.43034585094424,random_forest,0.8473716132212432,0.6958839136904761,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2498,0,9,10.1,0.0,165,104,1362.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
4,content_72e800a9c214,client_3fdba35f04,81.03495994045609,random_forest,0.7743713656571191,0.8425452355657596,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,13790,16,27,8.2,0.12,139,104,1371.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
5,content_e04eb9549989,client_3fdba35f04,80.8731883389024,random_forest,0.8148048069849403,0.7494675090918368,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3393,3,5,3.6,0.09,131,104,1408.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
6,content_b69288c5e701,client_3fdba35f04,80.75476968012651,random_forest,0.7957127277855011,0.787357519399093,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,5811,4,14,6.4,0.07,144,104,1370.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
7,content_9b6df29f7889,client_3fdba35f04,80.63292327424043,random_forest,0.8462453203658947,0.67353048075,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1622,2,20,3.1,0.12,139,104,1415.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
8,content_bb6ebb5ec8c8,client_3fdba35f04,80.37123607538848,random_forest,0.8346383672715132,0.6906645848151928,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2621,0,10,12.8,0.0,144,104,1381.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
9,content_4d76cdb3387b,client_3fdba35f04,80.36274771691248,random_forest,0.8430918690610489,0.6719927039540815,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1597,2,5,2.7,0.13,131,104,1554.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,moderate,top_3
10,content_b4f35d640b1c,client_3fdba35f04,80.32175712439779,random_forest,0.8438034050728425,0.6691681838287983,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3867,2,5,27.5,0.05,131,104,1389.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,good,page_3_5
